ts,c_out_4_0,c_out_4_1,c_out_4_2,c_out_4_3,c_out_4_4,c_out_4_5,c_out_4_6,c_out_4_7,c_out_4_8,c_out_4_9,c_out_4_10,c_out_4_11,c_out_4_12,v_out_4_0,v_out_4_1,v_out_4_2,v_out_4_3,v_out_4_4,v_out_4_5,v_out_4_6,v_out_4_7,v_out_4_8,v_out_4_9,v_out_4_10,v_out_4_11,v_out_4_12,out_en_4_0,out_en_4_1,out_en_4_2,out_en_4_3,out_en_4_4,out_en_4_5,out_en_4_6,out_en_4_7,out_en_4_8,out_en_4_9,out_en_4_10,out_en_4_11,out_en_4_12,temp_4_0,temp_4_1,bootcause_4,bootcnt_4,uptime_4,resetcause_4,batt_mode_4,heater_on_4,conv_5v_en_4,latchup_4_0,latchup_4_1,latchup_4_2,latchup_4_3,latchup_4_4,latchup_4_5,latchup_4_6,latchup_4_7,latchup_4_8,latchup_4_9,latchup_4_10,latchup_4_11,latchup_4_12,vbat_v_4,vcc_c_4,batt_c_4,batt_v_4,batt_temp_4_0,batt_temp_4_1,device_type_4_0,device_type_4_1,device_type_4_2,device_type_4_3,device_type_4_4,device_type_4_5,device_type_4_6,device_type_4_7,device_status_4_0,device_status_4_1,device_status_4_2,device_status_4_3,device_status_4_4,device_status_4_5,device_status_4_6,device_status_4_7,dearm_status_4,wdt_cnt_gnd_4,wdt_cnt_i2c_4,wdt_cnt_can_4,wdt_cnt_csp_4_0,wdt_cnt_csp_4_1,wdt_gnd_left_4,wdt_i2c_left_4,wdt_can_left_4,wdt_csp_left_4_0,wdt_csp_left_4_1,batt_chrg_4,batt_dischrg_4,ant6_depl_4,ar6_depl_4
1726207590,108,157,314,82,81,-5,1,64,1,nan,nan,nan,nan,5005,3386,3376,3384,3396,1027,0,3395,0,nan,nan,nan,nan,1,1,1,1,1,0,0,1,0,nan,nan,nan,nan,360,351,1,87,16609361,1,3,nan,nan,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,1,1,3,3,3,4,0,1,1,1,1,1,1,1,0,nan,24,0,0,2718,18,157255,0,0,5,5,nan,nan,nan,nan
1726207620,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1726207680,39,0,0,959,-3,111,8,0,0,-3,-4,8,4,0,1147,199,5000,0,16194,137,16193,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,327,320,1,84,1085518,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16205,-125,-369,16240,0,0,7,2,2,4,0,6,0,0,1,1,1,1,0,1,0,0,1,4,0,0,0,23,157166,0,580,5,5,628,997,3,3
1726207710,5,51,0,992,-3,111,339,349,-12,-3,0,8,7,0,1131,199,5000,0,5029,16193,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,327,320,1,43,1085547,769,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16205,-127,-405,16235,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,28,0,0,26,23,157137,0,0,5,5,573,978,3,3
1726207740,5,0,48,49,-3,216,8,0,0,0,0,8,4,0,0,199,4985,0,5029,137,0,274,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,327,319,1,43,1085577,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,16205,-127,-454,16230,0,0,7,2,2,4,0,6,0,0,1,1,1,1,0,0,0,0,1,4,0,0,26,0,157105,0,0,5,5,528,982,3,3
1726207770,5,3,0,49,0,111,8,349,0,0,3,8,4,0,1147,0,5000,16327,5029,137,16254,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,327,319,1,43,1813587,1,3,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,16266,-127,359,16294,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,26,23,157077,0,0,5,5,1330,971,3,3
1726207800,5,0,48,995,-3,114,8,0,-3,0,0,8,7,0,1131,199,5000,0,5029,16254,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,327,320,1,84,1085638,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,16266,-127,299,16294,0,0,7,2,2,1,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,157046,0,579,5,5,1305,1006,3,3
1726207830,5,0,0,995,-3,111,11,352,0,0,0,8,4,0,1131,215,0,0,5029,16269,0,289,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,330,322,1,43,1085667,1,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,16266,-127,483,16309,0,0,7,2,2,1,0,6,0,0,1,1,1,1,0,0,0,0,1,4,0,23,0,23,157017,0,0,5,5,1472,989,3,3
1726207860,5,3,50,52,-3,111,8,0,0,0,0,8,4,0,1131,199,4985,0,16255,137,16254,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,330,323,1,43,1085697,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16266,-127,283,16297,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,1,0,0,1,4,0,0,26,0,156987,0,0,5,5,1272,989,3,3
1726207890,5,1076,0,1189,-3,461,11,1365,0,0,-4,5,4,0,11990,0,0,0,5014,16208,0,274,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,332,325,1,43,1085727,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16221,-92,27,16274,0,0,7,2,2,4,4,0,0,0,1,1,1,1,0,0,0,0,1,4,0,23,0,0,156956,0,0,5,5,2015,1988,3,3
1726207920,5,1076,0,1141,-3,225,8,1350,-18,-3,0,8,4,0,11990,199,0,0,5014,137,0,289,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,335,328,1,43,1085758,1,3,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,16251,-128,8,16272,0,0,7,2,2,4,4,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156924,0,0,5,5,2001,1993,3,3
1726207950,5,1076,-3,1153,-3,464,11,0,0,3,0,8,7,0,11990,215,5000,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,340,330,1,43,1085787,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16221,-125,22,16273,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156897,0,0,5,5,1997,1975,3,3
1726207980,5,1076,0,1153,-3,464,8,0,-3,0,-4,5,7,0,11990,215,4985,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,342,333,1,43,1813797,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16114,-127,-1223,16181,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156867,0,0,5,5,782,2005,3,3
1726208010,5,1076,0,1135,-3,467,8,0,0,-3,0,8,4,0,11990,215,4985,0,5029,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,342,334,1,43,1085848,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16053,-127,-1999,16104,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156836,0,0,5,5,-5,1994,3,3
1726208040,5,1079,0,1219,0,467,8,0,0,-3,0,8,4,0,11990,215,4985,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,340,334,1,43,1085878,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16037,-127,-2015,16090,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156806,0,0,5,5,-5,2010,3,3
1726208070,5,1076,0,1222,0,470,8,0,0,-3,0,8,4,0,11990,215,4985,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,340,333,1,43,1085907,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16022,-128,-2022,16082,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156777,0,0,5,5,-5,2017,3,3
1726208100,5,1076,0,1153,0,470,8,0,0,0,0,5,4,0,11990,199,4985,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,340,333,1,43,1813917,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16022,-127,-2022,16076,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156747,0,0,5,5,-5,2017,3,3
1726208130,5,1076,0,1120,0,470,8,0,-3,0,0,8,4,0,11990,215,5000,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,340,332,1,43,1085967,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16007,-127,-2000,16069,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156716,0,0,5,5,-5,1995,3,3
1726208160,5,1079,0,1135,-3,470,11,0,-3,-3,0,8,4,0,11990,199,5000,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1085998,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16007,-127,-2018,16062,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156686,0,0,5,5,-5,2013,3,3
1726208190,5,1079,0,1222,-3,473,8,0,0,-3,0,8,4,0,11990,199,4985,0,5014,152,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,340,335,1,43,1814007,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16007,-127,-2006,16059,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156657,0,0,5,5,-5,2001,3,3
1726208220,5,1079,0,1153,-3,470,8,0,0,-3,0,8,7,0,11990,215,4985,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,4,43,1814037,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15992,-128,-2007,16054,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156627,0,0,5,5,-5,2002,3,3
1726208250,5,1079,0,1120,0,470,8,0,0,0,0,8,4,0,11990,215,5000,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1086088,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15992,-127,-2030,16045,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156596,0,0,5,5,-5,2025,3,3
1726208280,2,1076,0,1156,-3,473,11,0,0,0,0,8,4,0,11990,199,4985,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1086118,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15992,-127,-2041,16040,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156566,0,0,5,5,-5,2036,3,3
1726208310,5,1076,0,1117,-3,473,8,0,0,0,0,8,7,0,11990,199,4985,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1086148,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15976,-127,-2032,16035,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156536,0,0,5,5,-5,2027,3,3
1726208340,5,1076,0,1168,-3,473,8,0,0,0,0,8,7,0,11990,199,5000,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1086178,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15976,-127,-2015,16031,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156506,0,0,5,5,-5,2010,3,3
1726208370,5,1079,3,1159,0,476,8,0,0,0,0,8,7,0,11990,199,5000,0,5014,152,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1086207,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15976,-127,-2025,16025,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156477,0,0,5,5,-5,2020,3,3
1726208400,5,1076,0,1162,-3,473,11,0,0,0,0,8,7,0,11990,199,5000,0,5014,137,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1086237,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15976,-127,-2003,16021,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156447,0,0,5,5,-5,1998,3,3
1726208430,5,0,0,980,-3,123,8,0,-3,0,0,8,7,0,1131,199,5000,0,5029,137,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,337,332,1,43,1086269,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16053,-127,-1048,16091,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156416,0,0,5,5,-5,1043,3,3
1726208460,5,0,0,851,0,123,8,0,-3,0,0,8,4,0,1131,215,5000,0,5029,137,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,337,331,1,43,1086299,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16083,-125,-731,16117,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156386,0,0,5,5,-5,726,3,3
1726208490,5,0,0,3,0,126,11,0,-3,0,0,8,7,0,1131,199,0,0,5029,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,335,330,1,43,1086329,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16098,-127,-701,16122,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,4,0,0,0,0,156356,0,0,5,5,-5,696,3,3
